股票代號,股票名稱,融資買進,融資賣出,融資現金償還,融資前日餘額,融資今日餘額,融資限額,融券買進,融券賣出,融券現券償還,融券前日餘額,融券今日餘額,融券限額,資券互抵,註記
3533,嘉澤,73,51,,1074,1096,28133,,,,1,1,28133,, 
3535,晶彩科,769,613,,7877,8033,19763,242,2,,343,103,19763,9, 
3543,州巧,18,131,2,6877,6762,27565,1,1,,23,23,27565,, 
3545,敦泰,129,157,4,4944,4912,55287,,4,,49,53,55287,, 
3550,聯穎,154,154,,13630,13630,26887,1,2,,16,17,26887,1, 
3557,嘉威,2,5,,403,400,17999,,,,9,9,17999,, 
3563,牧德,238,115,25,7148,7246,12300,,1,,18,19,12300,, 
3576,聯合再生,,,,,,,,,,,,,,OX 
3583,辛耘,60,136,,2372,2296,20086,17,9,20,758,730,20086,15, 
3588,通嘉,17,69,,1449,1397,15498,,,,2,2,15498,, 
3591,艾笛森,375,360,2,25009,25022,36346,1,2,1,15,15,36346,19, 
3592,瑞鼎,36,42,,898,892,18963,,,,,,18963,5, 
3593,力銘,,,,,,,,,,,,,,OX 
3596,智易,27,58,,1504,1473,55088,,1,,6,7,55088,, 
3605,宏致,591,290,,6945,7246,40963,7,46,,134,173,40963,3, 
3607,谷崧,13,36,,2402,2379,30415,,,,,,30415,, 
3617,碩天,8,5,,1978,1981,23691,,,,,,23691,, 
3622,洋華,31,33,,1862,1860,37831,,,,1,1,37831,, 
3645,達邁,1074,982,,11553,11645,34188,93,48,,338,293,34188,13, 
3652,精聯,2,,,800,802,18774,,,,,,18774,, 
3653,健策,40,113,3,2916,2840,36683,8,12,,13,17,36683,84, 
3661,世芯-KY,142,168,,4798,4772,19832,,5,,84,89,19832,, 
3665,貿聯-KY,253,144,1,2824,2932,48769,5,4,,22,21,48769,174, 
3669,圓展,4,,,806,810,23229,,,,,,23229,1, 
3673,TPK-KY,3357,3433,10,19432,19346,101665,135,33,,400,298,101665,75, 
3679,新至陞,,,,142,142,15755,,,,,,15755,, 
3686,達能,,,,,,,,,,,,,,OX 
3694,海華,1061,2417,1,7368,6011,38732,,82,,10,92,38732,21, 
3701,大眾控,348,824,,9552,9076,53909,2,6,,16,20,53909,3, 
3702,大聯大,2231,750,1,4299,5779,419780,,269,21,874,1122,419780,1, 
3703,欣陸,6,1,,1380,1385,205803,,,,,,205803,, 
3704,合勤控,246,449,,4913,4710,103861,1,1,,37,37,103861,5, 
3705,永信,,1,,436,435,66605,,,,,,66605,, 
3706,神達,305,476,33,33872,33668,331803,23,20,,121,118,331803,13, 
3708,上緯投控,60,87,1,4231,4203,24401,,,1,298,297,24401,, 
3711,日月光投控,426,309,1,8017,8133,1117643,262,15,,331,84,1117643,7, 
3712,永崴投控,70,8,3,2803,2862,61560,14,,,577,563,61560,2, 
