日期,指數,收盤指數,漲跌,漲跌點數,漲跌百分比,特殊處理註記
1150706,特選臺灣高股息30報酬指數,10904.19,-,35.50,-0.32,
1150706,臺灣友善環境報酬指數,16056.76,-,67.93,-0.42,
1150706,台灣永續價值報酬指數,15659.48,-,27.02,-0.17,
1150706,特選臺灣IC設計報酬指數,9163.62,-,301.64,-3.19,
1150706,特選臺灣環境永續高股息報酬指數,12515.02,-,39.25,-0.31,
1150706,特選臺灣IC設計產業代表報酬指數,12291.77,-,259.25,-2.07,
1150706,特選臺灣綠能報酬指數,11174.82,-,63.22,-0.56,
1150706,特選臺灣智慧50報酬指數,12823.89,-,141.05,-1.09,
1150706,臺灣晶圓製造報酬指數,20907.70,-,155.41,-0.74,
1150706,臺灣精選高息報酬指數,11880.92,+,44.08,0.37,
1150706,臺灣多因子優選高股息30報酬指數,14920.53,-,12.81,-0.09,
1150706,特選臺灣優利高填息30報酬指數,16080.93,+,0.37,--,
1150706,特選臺灣科技優息報酬指數,18855.69,+,9.96,0.05,
1150706,臺灣半導體收益報酬指數,20117.87,-,47.40,-0.24,
1150706,臺灣優選成長高股息報酬指數,14275.25,-,63.53,-0.44,
1150706,特選臺灣ESG低碳高息40報酬指數,13809.75,-,7.41,-0.05,
1150706,臺灣優選多因子30報酬指數,16517.30,+,152.74,0.93,
1150706,臺灣創新科技50報酬指數,24990.09,-,467.25,-1.84,
1150706,臺灣全市場新經濟產業報酬指數,4603.12,+,6.03,0.13,
1150706,臺灣ESG永續高股息等權重報酬指數,8697.05,+,73.00,0.85,
1150706,臺灣永續高息中小型報酬指數,8839.24,-,24.48,-0.28,
1150706,特選臺灣高息動能報酬指數,11160.83,+,61.49,0.55,
1150706,臺灣電子成長高息等權重報酬指數,10369.15,+,26.08,0.25,
1150706,特選臺灣優利成長報酬指數,8559.76,+,18.51,0.22,
1150706,臺灣價值高息報酬指數,8441.76,-,23.68,-0.28,
1150706,特選臺灣IC設計動能報酬指數,14054.00,-,252.70,-1.77,
1150706,臺灣趨勢動能高股息報酬指數,9783.16,-,25.72,-0.26,
1150706,特選臺灣科技高息成長報酬指數,10003.39,+,37.86,0.38,
1150706,特選臺灣AI優息動能報酬指數,8243.82,+,10.33,0.13,
1150706,臺灣優選AI 50報酬指數,10361.94,+,0.88,0.01,
1150706,台灣旗艦動能50報酬指數,10902.38,-,88.26,-0.80,
1150706,特選臺灣動能趨勢報酬指數,18015.62,-,142.96,-0.79,
1150706,特選臺灣動能優息報酬指數,7285.21,+,44.88,0.62,
