Date,Code,Name,TradeVolume,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Change,Transaction
1150520,8454,富邦媒,756413,147611282,201.00,201.00,192.50,194.50,-5.0000,9813
1150520,8462,柏文,149852,20690638,139.50,139.50,137.00,138.00,-1.5000,352
1150520,8463,潤泰材,117298,2504687,21.60,21.60,21.00,21.00,-0.7000,77
1150520,8464,億豐,1419742,438315856,317.00,317.50,306.00,309.00,-8.0000,1696
1150520,8466,美吉吉-KY,297202,4288161,14.50,15.20,13.75,14.20,-0.2500,223
1150520,8467,波力-KY,18720,2346414,127.00,127.00,124.00,125.50,-3.5000,25
1150520,8473,山林水,3585529,140470700,37.75,39.75,37.60,39.75,3.6000,3592
1150520,8476,台境*,225776,3586833,15.75,16.10,15.70,15.90,0.1500,123
1150520,8478,東哥遊艇,198879,29896747,153.00,153.00,149.00,150.50,-1.5000,397
1150520,8481,政伸,22051,884860,40.00,40.25,39.95,40.25,0.3000,18
1150520,8482,商億-KY,8259,398497,48.20,48.70,48.05,48.70,-0.3000,10
1150520,8487,愛爾達-創,16203,1274484,78.30,79.00,78.20,79.00,0.4000,34
1150520,8488,吉源-KY,67422,668046,10.10,10.10,9.80,9.80,-0.3000,56
1150520,8499,鼎炫-KY,129102,35626505,262.00,283.00,262.00,278.50,13.0000,635
1150520,8926,台汽電,9121228,534134752,57.40,59.90,56.50,59.90,2.9000,6062
1150520,8940,新天地,42339,712380,17.35,17.35,16.65,16.70,-0.3500,146
1150520,8996,高力,3534418,3662229559,1050.00,1095.00,990.00,994.00,-46.0000,6875
1150520,9103,美德醫療-DR,1364720,6841077,5.08,5.12,4.92,4.97,-0.0400,449
1150520,910322,康師傅-DR,5872,144453,24.20,24.85,24.20,24.70,0.0500,14
1150520,9105,泰金寶-DR,7358443,41155728,5.59,5.65,5.55,5.59,0.0100,1609
1150520,910861,神州-DR,53002,264091,5.02,5.09,4.90,5.02,-0.1600,40
1150520,9110,越南控-DR,90000,241270,2.77,2.90,2.60,2.71,-0.0600,22
1150520,911608,明輝-DR,34000,87510,2.55,2.64,2.55,2.64,-0.0100,23
1150520,911622,泰聚亨-DR,15000,52740,3.51,3.58,3.51,3.58,-0.0200,5
1150520,911868,同方友友-DR,491099,588598,1.20,1.21,1.19,1.21,0.0100,39
1150520,912000,晨訊科-DR,195103,453277,2.32,2.37,2.30,2.34,0.0200,51
1150520,9136,巨騰-DR,4701602,54111573,11.35,12.25,11.00,11.00,-0.7000,729
1150520,9802,鈺齊-KY,1076223,81785242,77.00,77.00,75.40,75.90,-1.1000,982
1150520,9902,台火,48798,670556,13.75,13.90,13.70,13.70,-0.0500,66
1150520,9904,寶成,18311172,471811348,26.20,26.20,25.65,25.65,-0.4500,7222
1150520,9905,大華,28256,586926,20.80,20.90,20.75,20.80,-0.0500,35
1150520,9906,欣巴巴,320305,10552111,31.60,33.50,31.60,33.15,1.2000,296
1150520,9907,統一實,4015151,63920470,16.10,16.10,15.85,15.90,-0.1000,1999
1150520,9908,大台北,183456,5360317,29.30,29.30,29.10,29.15,-0.1000,174
1150520,9910,豐泰,2198923,152317350,69.50,70.20,68.60,70.10,0.7000,2008
